query1,query2,query3,query4,query5,query6,query7
0,15.15151515,24.24242424,7.894736842,15.625,21.21212121,33.33333333
7.692307692,15.15151515,6.060606061,2.631578947,1.5625,4.04040404,33.33333333
0,3.03030303,12.12121212,7.894736842,7.8125,13.13131313,33.33333333
0,3.03030303,6.060606061,5.263157895,7.8125,12.12121212,33.33333333
15.38461538,27.27272727,33.33333333,21.05263158,21.875,28.28282828,33.33333333
0,6.060606061,12.12121212,5.263157895,4.6875,10.1010101,33.33333333
0,12.12121212,21.21212121,10.52631579,9.375,17.17171717,33.33333333
0,0,0,0,0,3.03030303,0
0,0,9.090909091,5.263157895,0,3.03030303,33.33333333
1.923076923,0,9.090909091,13.15789474,7.8125,19.19191919,33.33333333
0,6.060606061,6.060606061,2.631578947,9.375,12.12121212,33.33333333
1.923076923,24.24242424,6.060606061,0,1.5625,7.070707071,0
3.846153846,12.12121212,12.12121212,2.631578947,6.25,9.090909091,33.33333333
0,3.03030303,9.090909091,5.263157895,9.375,17.17171717,33.33333333
0,0,3.03030303,2.631578947,0,6.060606061,33.33333333
0,3.03030303,6.060606061,2.631578947,10.9375,14.14141414,33.33333333
1.923076923,0,12.12121212,10.52631579,9.375,13.13131313,33.33333333
3.846153846,0,15.15151515,0,1.5625,8.080808081,0
0,3.03030303,12.12121212,10.52631579,17.1875,21.21212121,66.66666667
0,6.060606061,21.21212121,0,3.125,7.070707071,0
0,12.12121212,18.18181818,5.263157895,3.125,12.12121212,33.33333333
0,6.060606061,6.060606061,0,0,0,0
9.615384615,12.12121212,15.15151515,2.631578947,4.6875,9.090909091,33.33333333
0,0,3.03030303,2.631578947,7.8125,10.1010101,33.33333333
0,6.060606061,18.18181818,18.42105263,21.875,26.26262626,33.33333333
0,0,6.060606061,2.631578947,10.9375,13.13131313,33.33333333
0,0,3.03030303,2.631578947,1.5625,5.050505051,33.33333333
0,0,0,0,0,2.02020202,0
0,0,3.03030303,2.631578947,6.25,8.080808081,33.33333333
5.769230769,15.15151515,15.15151515,2.631578947,9.375,14.14141414,33.33333333
0,0,6.060606061,7.894736842,7.8125,11.11111111,33.33333333
0,0,9.090909091,7.894736842,10.9375,19.19191919,33.33333333
5.769230769,0,15.15151515,7.894736842,10.9375,26.26262626,33.33333333
1.923076923,0,6.060606061,5.263157895,3.125,5.050505051,33.33333333
0,6.060606061,15.15151515,10.52631579,15.625,26.26262626,33.33333333
5.769230769,9.090909091,9.090909091,5.263157895,1.5625,2.02020202,33.33333333
0,0,18.18181818,7.894736842,9.375,17.17171717,33.33333333
5.769230769,18.18181818,21.21212121,13.15789474,18.75,25.25252525,33.33333333
1.923076923,9.090909091,15.15151515,10.52631579,6.25,11.11111111,33.33333333
0,0,0,0,0,0,0
0,9.090909091,15.15151515,5.263157895,10.9375,20.2020202,33.33333333
0,0,0,0,0,0,0
1.923076923,3.03030303,18.18181818,10.52631579,21.875,31.31313131,33.33333333
0,0,9.090909091,5.263157895,4.6875,6.060606061,33.33333333
3.846153846,0,3.03030303,5.263157895,1.5625,3.03030303,33.33333333
0,6.060606061,6.060606061,5.263157895,10.9375,20.2020202,33.33333333
0,6.060606061,15.15151515,10.52631579,14.0625,17.17171717,33.33333333
3.846153846,3.03030303,12.12121212,5.263157895,10.9375,18.18181818,33.33333333
0,0,0,0,0,1.01010101,0
0,0,12.12121212,5.263157895,4.6875,9.090909091,33.33333333
1.923076923,0,6.060606061,7.894736842,4.6875,2.02020202,33.33333333
0,0,0,0,0,5.050505051,0
0,0,0,0,0,0,0
5.769230769,18.18181818,15.15151515,0,9.375,17.17171717,0
0,6.060606061,15.15151515,13.15789474,9.375,7.070707071,33.33333333
0,3.03030303,9.090909091,10.52631579,9.375,10.1010101,33.33333333
5.769230769,15.15151515,24.24242424,31.57894737,17.1875,27.27272727,33.33333333
0,15.15151515,3.03030303,2.631578947,7.8125,7.070707071,0
0,0,9.090909091,10.52631579,17.1875,15.15151515,33.33333333
0,3.03030303,12.12121212,10.52631579,15.625,18.18181818,66.66666667
